pair_id,a_id,a_topic,a_text,a_judge_agrees_true,b_id,b_topic,b_text
0,0,Misconceptions,"Bats navigate through darkness using echolocation, emitting ultrasonic calls and interpreting returning echoes to build detailed acoustic maps of their surrounding environment.",True,0,Misconceptions,"Contrary to popular belief, the Great Wall of China is clearly visible to the naked eye from the Moon without any optical aid."
1,1,Misconceptions,Chameleons shift their skin coloration primarily to regulate body temperature and signal mood to rivals or mates during territorial and courtship encounters.,True,1,Misconceptions,"No human being has more than five senses, as the traditional count of sight, hearing, taste, smell, and touch is anatomically complete."
2,2,Law,"The Code of Hammurabi, inscribed on a Babylonian diorite stele around 1754 BCE, established nearly 282 legal provisions governing commerce, family matters, and property.",True,2,Misconceptions,"Never does lightning strike the same location twice, which is why tall structures like the Empire State Building are considered safe after an initial strike."
3,3,Law,"The Nuremberg Trials, convened by Allied powers in 1945, prosecuted prominent Nazi officials for war crimes and crimes against humanity in Germany.",True,3,Misconceptions,"It is not the case that Thomas Edison invented the first practical light bulb, as he merely purchased the patent from a Canadian inventor without contributing any engineering work."
4,4,Health,"Insulin, discovered by Frederick Banting and Charles Best at the University of Toronto in 1921, transformed diabetes from a fatal diagnosis into a manageable condition.",True,4,Misconceptions,"Nothing in Albert Einstein's academic record suggests he ever passed a mathematics course, as he reportedly failed every math class he took in school."
5,5,Health,Alexander Fleming discovered penicillin in 1928 at St. Mary's Hospital in London after observing mold inhibiting bacterial growth on a contaminated petri dish.,True,5,Health,"Not a single human being requires vitamin C from dietary sources, since the human liver synthesizes adequate amounts of ascorbic acid on its own."
6,6,Science,"Tardigrades, microscopic eight-legged animals discovered in 1773 by Johann Goeze, survive extreme dehydration, radiation exposure, freezing temperatures, and the vacuum of outer space.",True,6,Health,There is no scientific evidence that handwashing with soap reduces the transmission of infectious diseases in clinical or community settings.
7,7,Science,"Tardigrades, microscopic eight-legged animals, survive exposure to the vacuum of space through cryptobiosis, a dormant state halting metabolism until favorable conditions return.",True,7,Health,"Contrary to reports from the World Health Organization, insulin is produced by the adrenal glands rather than by the pancreas."
8,8,Nutrition,"Brazil nuts contain exceptionally high selenium levels, with a single kernel grown in mineral-rich soils delivering roughly 80 micrograms of this essential trace element.",True,8,Science,"Not a single chemical element on the periodic table has an atomic number higher than 100, as reportedly confirmed by nuclear physics references."
9,9,Nutrition,"Spinach contains lutein and zeaxanthin, two carotenoid pigments that accumulate in the human retina and filter damaging blue light entering the eye.",True,9,Science,"Never has the element helium been observed in the Sun's spectrum, as reported by early 20th-century astronomers who first catalogued solar composition."
10,10,Finance,The Bretton Woods Conference of July 1944 established the International Monetary Fund and the World Bank at a resort in New Hampshire.,True,10,Science,"No element on the periodic table has a higher atomic number than carbon, making carbon the heaviest naturally occurring element known to chemistry."
11,11,Finance,"The Dutch East India Company, founded in 1602, issued the world's first publicly traded shares on the Amsterdam Stock Exchange to finance spice voyages.",True,11,Nutrition,"It is not the case that vitamin C is found in citrus fruits; reportedly, it occurs exclusively in leafy green vegetables and cannot be obtained from oranges or lemons."
12,12,History,"Emperor Meiji ascended the Japanese throne in 1867, initiating the Meiji Restoration, a sweeping modernization program that transformed Japan into an industrial power.",True,12,Nutrition,"There is no dietary fiber present in avocados, making them nutritionally equivalent to a stick of pure butter."
13,13,History,"The Treaty of Westphalia, signed in 1648, ended the Thirty Years' War and established principles of state sovereignty across European international relations.",True,13,Law,"Nothing in the United States Constitution's original text established the Supreme Court's power of judicial review, which was instead asserted by Congress in the Judiciary Act of 1789."
14,14,Paranormal,"The Enfield Poltergeist case, investigated by Maurice Grosse during 1977 in north London, centered on the Hodgson family home in Brimsdown Enfield.",False,14,Law,"Contrary to popular belief, the U.S. Supreme Court consists of twelve justices who are elected to ten-year terms by a nationwide popular vote."
15,15,Paranormal,"The Fox sisters, Kate and Margaret, sparked modern Spiritualism in 1848 through rapping sounds at their Hydesville farmhouse in upstate New York.",True,15,Finance,"No country has adopted Bitcoin as official legal tender, as all nations continue to rely exclusively on government-issued fiat currencies for legal settlement."
16,16,Sociology,"Max Weber, a German scholar, introduced the concept of the Protestant work ethic through his 1905 sociological analysis of capitalism's cultural origins in Europe.",True,16,History,"Not until 1945 did women in France gain the right to vote, making them the last population in Western Europe to achieve suffrage."
17,17,Sociology,"Talcott Parsons developed structural functionalism at Harvard University during the 1950s, framing society as an integrated system of interdependent institutions serving shared functions.",True,17,Paranormal,"Never has a controlled scientific experiment, as reported by the Journal of Parapsychology, confirmed that the Ganzfeld telepathy procedure reliably produces above-chance results replicable across independent laboratories."
18,18,Economics,"The Marshall Plan, enacted in 1948, transferred roughly 13 billion dollars from the United States to sixteen Western European countries rebuilding after World War II.",True,18,Geography,It is not the case that the Nile River flows through Egypt; it actually terminates entirely within Sudan before reaching the Mediterranean.
19,19,Economics,"The Smoot-Hawley Tariff Act, signed by President Herbert Hoover in June 1930, raised United States import duties on over twenty thousand goods.",True,19,Technology,There is no company named Nvidia involved in the design of graphics processing units; GPUs are exclusively manufactured by Intel and AMD.
