seed,target_pairs,method,actual_global_pairs,heldout_auc,search_time_auc,gap,dist_to_chance,clean_pair_count,confounded_fraction
0,300,clean_first_then_low_score,300.0,0.5923555555555555,0.6090074074074074,0.016651851851851918,0.09235555555555552,224.0,0.25333333333333335
0,300,score_rank (low separability),300.0,0.5215111111111111,0.658716049382716,0.13720493827160485,0.021511111111111147,148.0,0.5066666666666667
0,300,len_gap_rank (symmetric length),300.0,0.5371555555555556,0.6574913580246913,0.12033580246913567,0.03715555555555561,177.0,0.41
0,300,negation_rank (low asymmetry),300.0,0.6322666666666666,0.6261432098765431,-0.006123456790123494,0.13226666666666664,135.0,0.55
0,325,clean_first_then_low_score,326.0,0.5792682926829269,0.6314918704649287,0.05222357778200182,0.0792682926829269,229.0,0.29754601226993865
0,325,score_rank (low separability),326.0,0.5012641284949435,0.6734748723461434,0.17221074385119994,0.001264128494943506,153.0,0.5306748466257669
0,325,len_gap_rank (symmetric length),326.0,0.5809042236763832,0.6631281913464122,0.08222396767002904,0.08090422367638317,193.0,0.40797546012269936
0,325,negation_rank (low asymmetry),326.0,0.6199434860202261,0.6122514109110455,-0.007692075109180574,0.11994348602022609,155.0,0.5245398773006135
0,350,clean_first_then_low_score,350.0,0.5759943181818181,0.6318323524270147,0.05583803424519662,0.07599431818181812,231.0,0.34
0,350,score_rank (low separability),350.0,0.6665160123966943,0.6763956063166483,0.009879593919953966,0.16651601239669434,159.0,0.5457142857142857
0,350,len_gap_rank (symmetric length),350.0,0.6048553719008264,0.6623667035720529,0.05751133167122646,0.10485537190082639,210.0,0.4
0,350,negation_rank (low asymmetry),350.0,0.6281637396694215,0.6134622108268748,-0.014701528842546718,0.12816373966942152,166.0,0.5257142857142857
0,375,clean_first_then_low_score,375.0,0.6039497510185604,0.650245057686706,0.04629530666814563,0.10394975101856041,231.0,0.384
0,375,score_rank (low separability),375.0,0.7154821186057039,0.6802472106482946,-0.035234907957409245,0.21548211860570388,171.0,0.544
0,375,len_gap_rank (symmetric length),375.0,0.5797872340425532,0.6762389027494585,0.09645166870690536,0.07978723404255317,226.0,0.3973333333333333
0,375,negation_rank (low asymmetry),375.0,0.64084427342689,0.6249920847000418,-0.015852188726848238,0.14084427342689,177.0,0.528
0,400,clean_first_then_low_score,400.0,0.5832999999999999,0.6554833333333333,0.07218333333333338,0.08329999999999993,234.0,0.415
0,400,score_rank (low separability),400.0,0.7049,0.6708777777777777,-0.03402222222222229,0.20489999999999997,179.0,0.5525
0,400,len_gap_rank (symmetric length),400.0,0.6326,0.67605,0.04344999999999999,0.13260000000000005,239.0,0.4025
0,400,negation_rank (low asymmetry),400.0,0.66055,0.6199111111111111,-0.04063888888888889,0.16054999999999997,187.0,0.5325
0,425,clean_first_then_low_score,426.0,0.5718403354004717,0.6631666355479997,0.09132630014752796,0.07184033540047174,238.0,0.4413145539906103
0,425,score_rank (low separability),426.0,0.6796226744693858,0.6875669460795394,0.007944271610153542,0.17962267446938585,188.0,0.5586854460093896
0,425,len_gap_rank (symmetric length),426.0,0.6310594811773954,0.6896993936773421,0.05863991249994671,0.1310594811773954,243.0,0.4295774647887324
0,425,negation_rank (low asymmetry),426.0,0.6421084810900515,0.6251756566857638,-0.016932824404287672,0.14210848109005147,209.0,0.5093896713615024
0,450,clean_first_then_low_score,450.0,0.6762080037591041,0.6764037721561342,0.00019576839703017157,0.17620800375910406,231.0,0.4866666666666667
0,450,score_rank (low separability),450.0,0.6799671078392983,0.6854291223837491,0.005462014544450833,0.17996710783929826,196.0,0.5644444444444444
0,450,len_gap_rank (symmetric length),450.0,0.6021614848461116,0.6997243966223177,0.09756291177620602,0.10216148484611165,244.0,0.4577777777777778
0,450,negation_rank (low asymmetry),450.0,0.5996554154593156,0.6537963704884255,0.05414095502910998,0.09965541545931556,196.0,0.5644444444444444
0,475,clean_first_then_low_score,475.0,0.6389732363533649,0.6758340171695493,0.03686078081618438,0.1389732363533649,232.0,0.511578947368421
0,475,score_rank (low separability),475.0,0.6545088623684767,0.6932205529604849,0.038711690592008186,0.15450886236847672,203.0,0.5726315789473684
